trait,gene,gene_name,zscore,effect_size,pvalue,FDR_all,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,filename,tissue,Phenotype Description
MCH,ENSG00000171552,BCL2L1,5.553341388702393,0.6492274279950463,2.8025996667243e-8,1.7433571226858509e-4,7.9493119321884e-4,0.03955345970202917,0.00832741726511082,0.02346296202826093,1,3,3,Brain_Frontal_Cortex_BA9_MCH,Brain Frontal Cortex BA9,Mean corpuscular haemoglobin
MCH,ENSG00000171552,BCL2L1,-5.5599063219258875,-0.07652719307798819,2.6991949019103307e-8,1.7433571226858509e-4,0.05735136527547902,0.15880611485236498,1.0594871091770064e-13,6.54214767414893e-13,2,3,3,Testis_MCH,Testis,Mean corpuscular haemoglobin
MCV,ENSG00000171552,BCL2L1,5.364609241485596,0.5950083487618211,8.112465010782415e-8,2.523179429978601e-4,7.9493119321884e-4,0.03955345970202917,0.00832741726511082,0.02346296202826093,1,3,3,Brain_Frontal_Cortex_BA9_MCV,Brain Frontal Cortex BA9,Mean corpuscular volume
MCV,ENSG00000171552,BCL2L1,-5.381948379736745,-0.07027274144746605,7.368389741789556e-8,2.523179429978601e-4,0.05735136527547902,0.15880611485236498,1.0594871091770064e-13,6.54214767414893e-13,2,3,3,Testis_MCV,Testis,Mean corpuscular volume
MONORE,ENSG00000153094,BCL2L11,4.60018771323027,0.21249891321925923,4.221103904055297e-6,0.010502950734070388,0.00797193897774879,0.04057457974419484,2.6303297270563e-4,8.1790195000472e-4,13,28,28,Stomach_MONORE,Stomach,Monocyte count
WBCfixed,ENSG00000125538,IL1B,4.324809074401855,0.6754990800348902,1.5266402497588464e-5,0.03165488557874968,5.7155392776712e-4,0.05112800038838352,0.00588978374217591,0.021318183130359242,1,3,3,Cells_EBV-transformed_lymphocytes_WBC_fixed,Cells EBV-transformed lymphocytes,White blood cell (leukocyte) count
MCV,ENSG00000176171,BNIP3,-4.11942720413208,-0.20746313338344397,3.798153917267157e-5,0.06750404697817243,0.00408459438937718,0.04448666356138245,1.3725511639304e-4,3.473956820182e-4,1,3,3,Testis_MCV,Testis,Mean corpuscular volume
MCH,ENSG00000176171,BNIP3,-4.003979206085205,-0.2125389453466928,6.228584186710441e-5,0.09649156204042034,0.00408459438937718,0.04448666356138245,1.3725511639304e-4,3.473956820182e-4,1,3,3,Testis_MCH,Testis,Mean corpuscular haemoglobin
MONORE,ENSG00000153094,BCL2L11,3.976954902597142,0.45390571857235745,6.980339670153388e-5,0.09649156204042034,0.00124117179613923,0.01936357664018557,0.00154749219231982,0.00296548423250332,2,7,7,Lung_MONORE,Lung,Monocyte count
BASORE,ENSG00000030110,BAK1,-3.951705642251236,-0.03465246515574643,7.759615124591544e-5,0.0965373717650434,0.24463581549219177,0.2857911304769519,1.1837078544663599e-40,1.4690684644228943e-39,13,15,15,Nerve_Tibial_BASORE,Nerve Tibial,Basophil percentage
