gene_name,Pathway,SubPathway,Phenotype Description,Category,zscore,effect_size,pvalue,FDR_all,Tissue,Phenotype Code,gene,Protein Name,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,Derivation,File
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.334743911171,-0.0541914339983373,4.907210566387339e-25,6.617502098554474e-22,Adipose Subcutaneous,30210_irnt,ENSG00000167468,GPX4,0.100487479804626,0.076047212110335,1.3391573386789598e-11,4.8438761656026e-11,15,16,16,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.2924166504056,-0.0420415453048049,7.623850343956768e-25,6.617502098554474e-22,Cells Cultured fibroblasts,30210_irnt,ENSG00000167468,GPX4,0.16528117062549,0.399418802954036,3.19953750818649e-55,7.518507111559548e-54,18,20,20,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.3296515568575,-0.0499417772013861,5.1748218492630875e-25,6.617502098554474e-22,Breast Mammary Tissue,30210_irnt,ENSG00000167468,GPX4,0.117485081449608,0.0463565842992674,1.54776829340103e-5,4.85025136973455e-5,12,13,13,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.3049640077141,-0.0456600806809503,6.69167224296456e-25,6.617502098554474e-22,Muscle Skeletal,30210_irnt,ENSG00000167468,GPX4,0.137572944362314,0.1389777115528,1.06625822324782e-24,8.53337567847156e-24,10,11,11,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.2223512017361,-0.0430069368607121,1.57474181922121e-24,1.0935007192672081e-21,Artery Tibial,30210_irnt,ENSG00000167468,GPX4,0.155239050107277,0.200965132824409,3.24676685507357e-30,2.98629349723113e-29,20,21,21,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.1941469043796,-0.042388399046562,2.1058518672847402e-24,1.2185862805354363e-21,Esophagus Mucosa,30210_irnt,ENSG00000167468,GPX4,0.159033906531119,0.278879450768154,4.85765934031134e-37,7.589240165920119e-36,16,17,17,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.1483201036161,-0.0412145750057224,3.37116213721081e-24,1.4630843675494917e-21,Skin Sun Exposed Lower leg,30210_irnt,ENSG00000167468,GPX4,0.165951502072064,0.271692108992813,1.908255405309859e-43,2.9929855955995695e-42,16,18,18,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.1490785742019,-0.038881353177027,3.3450668970634e-24,1.4630843675494917e-21,Skin Not Sun Exposed Suprapubic,30210_irnt,ENSG00000167468,GPX4,0.185803176116412,0.297924379354149,1.78101399269542e-41,3.326679707784669e-40,25,27,27,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.1279575184909,-0.0440542373524705,4.15232099516521e-24,1.6018731661348453e-21,Heart Atrial Appendage,30210_irnt,ENSG00000167468,GPX4,0.145106099523724,0.0553827053557085,4.46853204827009e-6,1.41362585903547e-5,11,12,12,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.1116586361248,-0.0467362201541873,4.90467870833286e-24,1.6531614949434245e-21,Lung,30210_irnt,ENSG00000167468,GPX4,0.128957633189967,0.0925932394171477,1.7048679008563098e-12,8.56273202562383e-12,9,9,9,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.1052244324399,-0.0440443389790305,5.2375508192332e-24,1.6531614949434245e-21,Artery Aorta,30210_irnt,ENSG00000167468,GPX4,0.144011964562213,0.120776669922492,1.99165545649945e-12,1.00902817675979e-11,11,11,11,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.089586085973,-0.0426077543202271,6.14279880585617e-24,1.777316454494385e-21,Colon Transverse,30210_irnt,ENSG00000167468,GPX4,0.153909896298651,0.268949874164991,1.00982421426037e-26,2.0312444960529095e-25,10,10,10,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.0484313795632,-0.0419776604580711,9.33413322194278e-24,2.4929315805065642e-21,Thyroid,30210_irnt,ENSG00000167468,GPX4,0.155676557166439,0.158899368439526,2.6612797508165795e-23,1.5906602395309e-22,8,8,8,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-10.0344639834563,-0.0424235169120321,1.0754190127828799e-23,2.667039151701542e-21,Stomach,30210_irnt,ENSG00000167468,GPX4,0.153164953276161,0.308437865511478,1.29705927445338e-27,3.93492707377633e-26,10,10,10,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.99786135579005,-0.0452576180022667,1.5572370547727898e-23,3.604484702780751e-21,Heart Left Ventricle,30210_irnt,ENSG00000167468,GPX4,0.133506335687788,0.0376588378289173,1.2463682282141e-4,3.3488814555442e-4,6,6,6,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.98556073521986,-0.0619906594317374,1.7630141866230498e-23,3.825740784972018e-21,Cells EBV-transformed lymphocytes,30210_irnt,ENSG00000167468,GPX4,0.0699515699045086,0.14748908054025,1.57108884925957e-6,1.45797989753682e-5,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.92514622051194,-0.0513576180605913,3.23628043393806e-23,5.8611445537300714e-21,Prostate,30210_irnt,ENSG00000167468,GPX4,0.10125256628936,0.215251943814792,3.39482898261183e-13,5.5111744501523894e-12,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.93071207197973,-0.0507778579897044,3.0606199388671e-23,5.8611445537300714e-21,Brain Cerebellar Hemisphere,30210_irnt,ENSG00000167468,GPX4,0.104312263288385,0.326882209927943,1.41254226390544e-16,2.3342935692373704e-15,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.92092179206969,-0.0471114446059388,3.37623534201041e-23,5.8611445537300714e-21,Small Intestine Terminal Ileum,30210_irnt,ENSG00000167468,GPX4,0.120718730920166,0.234934678367557,1.2256332851048199e-11,2.33098096727325e-10,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.93530765719635,-0.0511688516954217,2.92272317058744e-23,5.8611445537300714e-21,Liver,30210_irnt,ENSG00000167468,GPX4,0.102194610615782,0.266597708428328,1.43296994686926e-15,3.5953482035639996e-14,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.91483419698988,-0.0417612402958231,3.588517701582859e-23,5.93301593328366e-21,Pancreas,30210_irnt,ENSG00000167468,GPX4,0.152120411747757,0.321742890963193,2.29297188938355e-27,5.21026242826987e-26,6,6,6,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.9006706338688,-0.0510445711121453,4.134928747954689e-23,5.9954683674382014e-21,Colon Sigmoid,30210_irnt,ENSG00000167468,GPX4,0.102021405788798,0.227580346138483,1.7761963389865598e-19,2.34608790566526e-18,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.90751445334375,-0.0613902711873223,3.86132614984561e-23,5.9954683674382014e-21,Adipose Visceral Omentum,30210_irnt,ENSG00000167468,GPX4,0.0708863474251346,0.102890050735388,1.10305321062529e-12,6.05058861821891e-12,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.90044344920146,-0.0498792918198924,4.14433297288355e-23,5.9954683674382014e-21,Brain Cortex,30210_irnt,ENSG00000167468,GPX4,0.108319515326491,0.313758346833111,2.49611985974495e-18,4.98630223171696e-17,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.89622762661508,-0.114402704704423,4.322738485525809e-23,6.003419208698244e-21,Artery Coronary,30210_irnt,ENSG00000167468,GPX4,0.0200076855263741,0.0449503153917324,0.00186141387909848,0.00573802887877402,2,2,2,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.88389878677205,-0.0705059215264694,4.8892769423413196e-23,6.0627034085032364e-21,Kidney Cortex,30210_irnt,ENSG00000167468,GPX4,0.0524288927431513,0.130537000414116,0.00168675528285519,0.0162499336958559,2,2,2,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.88724808778577,-0.0406826797648213,4.7284736911728e-23,6.0627034085032364e-21,Esophagus Gastroesophageal Junction,30210_irnt,ENSG00000167468,GPX4,0.161191819638267,0.195701074436495,3.02756003178363e-17,3.00739643595695e-16,9,9,9,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.88585089419272,-0.0516665262166993,4.79490768527198e-23,6.0627034085032364e-21,Vagina,30210_irnt,ENSG00000167468,GPX4,0.0987067811032541,0.168475088887476,4.30171959208445e-7,6.90192064158988e-6,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.87755096219667,-0.075325644689275,5.20903932339655e-23,6.236477424425111e-21,Uterus,30210_irnt,ENSG00000167468,GPX4,0.0458577250912566,0.142144551265428,1.06225502117338e-5,1.1086254109586e-4,2,2,2,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.86549887051681,-0.0566501317531285,5.87417135983521e-23,6.579071923015434e-21,Ovary,30210_irnt,ENSG00000167468,GPX4,0.0812806983505589,0.333209211076697,3.20084287351836e-16,1.1306009563804e-14,3,3,3,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.86706355298502,-0.0511790948674093,5.78328535317659e-23,6.579071923015434e-21,Minor Salivary Gland,30210_irnt,ENSG00000167468,GPX4,0.100450599347662,0.17632364015254,1.61244888784988e-7,2.00699438018387e-6,3,3,3,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.84848268604785,-0.0416737357766023,6.95865251452436e-23,7.55013797825893e-21,Esophagus Muscularis,30210_irnt,ENSG00000167468,GPX4,0.153146365284348,0.239092943921824,2.54083457138107e-29,2.894880567778729e-28,21,22,22,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
