phecodeID,gene,gene_name,zscore,effect_size,pvalue,pred_perf_R2,pred_perf_pval,n_snps_used,n_snps_in_model,Tissue,Phenotype Description
Phecode_342,ENSG00000101966,XIAP,-3.06992597641505,-21.2749195878534,0.0021411183108806,2.54826594739978e-5,0.938909147723469,3,6,Adrenal Gland,Hemiplegia and hemiparesis
Phecode_359.2,ENSG00000101966,XIAP,3.01730044813072,4.90809744381599,0.002550368961731,0.0301421076010978,0.00738400933824701,18,22,Pituitary,Myositis
Phecode_375,ENSG00000101966,XIAP,3.00537816484871,4.29921316496974,0.00265250837674413,0.0301421076010978,0.00738400933824701,18,22,Pituitary,Disorders of lacrimal system
Phecode_522,ENSG00000101966,XIAP,-2.97616184870284,-3.35454480351071,0.00291880775833397,0.00872321152229791,0.025242222301231,17,19,Thyroid,Diseases of pulp and periapical tissues
Phecode_213,ENSG00000101966,XIAP,-2.87768065899407,-12.3246939165727,0.00400610450663397,0.00643600217749132,0.0826450623020488,13,16,Adipose Visceral Omentum,Benign neoplasm of bone and articular cartilage
Phecode_378.5,ENSG00000101966,XIAP,2.8224085079717,20.4268942932076,0.00476644199920684,0.0157267878602023,0.130159233563786,2,3,Cells EBV-transformed lymphocytes,Paralytic strabismus
Phecode_153.3,ENSG00000101966,XIAP,2.7680913712768,5.03523259561564,0.00563856449772127,0.0301421076010978,0.00738400933824701,18,22,Pituitary,"Malignant neoplasm of rectosigmoid junction, Malignant neoplasm of rectum"
Phecode_149.4,ENSG00000101966,XIAP,-2.75311572948021,-11.4250929347538,0.00590310247288905,0.0156924583294679,0.184174722213492,49,63,Brain Substantia nigra,Malignant neoplasm of larynx
Phecode_359.2,ENSG00000101966,XIAP,2.73441934866774,20.9187837668831,0.00624904021295114,0.0157267878602023,0.130159233563786,2,3,Cells EBV-transformed lymphocytes,Myositis
Phecode_613.1,ENSG00000101966,XIAP,-2.71726557817045,-8.51560845794454,0.00658237661529615,0.00872321152229791,0.025242222301231,17,19,Thyroid,Inflammatory disorders of breast
Phecode_480.11,ENSG00000101966,XIAP,-2.71557860552898,-3.8964173443627,0.00661600685920227,0.0476478860877155,9.92173416550351e-8,49,61,Artery Tibial,Pneumonia due to Streptococcus pneumoniae
Phecode_703,ENSG00000101966,XIAP,2.65133483273496,11.0469896372357,0.00801743156943902,0.0157267878602023,0.130159233563786,2,3,Cells EBV-transformed lymphocytes,Nail disorders
